variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5103.0,250,4,5.5860818901494004e-06,2.733250157498931e-06,5.148473793385945e-06,5.8773831282610204e-06,0.005668375394321767
raw,NET,5103.0,492,7,0.0011793486335065194,0.0006820343413145046,0.0012054694455789464,0.0012191858161637705,0.0013417893445495969
raw,NET,5103.0,1087,22,3.6883704245899565e-05,2.8864951662511155e-05,3.714571617013661e-05,3.698097179023802e-05,0.001971608832807571
raw,NET,5103.0,1113,22,4.910568089764015e-05,4.1379243032216745e-05,4.993829892073166e-05,4.616427311197268e-05,0.005049509288468279
raw,NET,5103.0,1219,23,1.0808615646057324e-05,6.980241723086673e-06,1.0101382962283855e-05,1.1312299484871748e-05,0.20132864528566422
raw,NET,5103.0,1231,23,2.515932967258145e-05,1.2767584177102811e-05,2.4676027051456028e-05,2.651513089380532e-05,0.08676721871713985
raw,NET,5103.0,1319,25,0.0006067969850336548,0.0003813399807136159,0.0006009360333207224,0.0006325955645744147,0.0018346915527514896
raw,NET,5103.0,1348,25,0.00032334741371690295,0.00027202559260136334,0.00032767316611885425,0.00032467109296947116,0.004030844724851034
raw,NET,5103.0,1389,26,5.219189724534841e-05,2.703583768312632e-05,5.045093689564908e-05,5.620589533601852e-05,0.0027657290571328425
raw,NET,5103.0,1498,27,0.00010403256688000528,4.6260791343327944e-05,9.646350135771435e-05,0.00011931616735336479,0.03803562039957939
raw,NET,5103.0,1603,28,2.3646301413599978e-05,1.1497858245834605e-05,2.1801061629665852e-05,2.6922485083151152e-05,0.039339072905713285
raw,NET,5103.0,1635,28,3.282617984508138e-05,1.911656223542568e-05,2.9714309784535728e-05,3.7219582510362134e-05,0.03963481423063442
raw,NET,5103.0,1926,36,0.0001317471909181655,6.156933250074502e-05,0.0001300605324420138,0.00014289302153685485,0.0009365141955835962
raw,NET,5103.0,1962,37,1.8415497495178407e-05,1.5152809455664841e-05,1.9728514817077296e-05,1.6165731140651974e-05,0.034645548545390814
raw,NET,5103.0,2001,37,0.00010814924567385704,0.0001178783421192192,0.00010643665764146996,0.00010831630431904277,0.03901594812478093
raw,NET,5103.0,2055,38,0.00023696865627779217,0.0002282214935623894,0.00023293897700312066,0.00024365938873823273,0.0023111636873466524
raw,NET,5103.0,2075,38,7.512544956649885e-05,5.570346564684482e-05,7.42395416698507e-05,7.898600635421799e-05,0.0040417981072555205
raw,NET,5103.0,2242,41,5.0778467254828356e-05,2.9644092553308367e-05,4.912158306807197e-05,5.530773932922688e-05,0.039591000701016475
raw,NET,5103.0,2512,42,0.00011842888546920074,8.210412409062281e-05,0.0001209362797814217,0.00011701487439904165,0.009584209603925692
