event,family,arm,path24_mse,h24_mse,active48_step_mse,active48_n
2021-02-15,winter,one,0.0057090782933224525,0.013506616897460253,0.00040299919299397916,38280.0
2021-02-15,winter,two,0.005784002615900053,0.01367004457787194,0.00040266425742443735,38280.0
2021-02-15,winter,persistence,0.005955767546378137,0.014141020239988391,,
2021-02-15,winter,damped_persistence,0.006050668332581963,0.014388454668084054,,
2021-05-04,convective,one,0.004549689481372659,0.005546280883959037,0.00035123209262188644,16320.0
2021-05-04,convective,two,0.004412880385528937,0.005308242752650131,0.0003507632766583044,16320.0
2021-05-04,convective,persistence,0.00504114649124401,0.006457715493169768,,
2021-05-04,convective,damped_persistence,0.004927332350539862,0.0062036427363343,,
2021-06-21,convective,one,0.0011396096246907867,0.0010177419245701942,9.741269226168483e-05,12240.0
2021-06-21,convective,two,0.0011166766389184212,0.0010166751692627964,9.73742931502902e-05,12240.0
2021-06-21,convective,persistence,0.0014790749813182002,0.0016645113688788277,,
2021-06-21,convective,damped_persistence,0.0013763065798471608,0.0014345676847129917,,
2021-08-11,convective,one,0.0021845564495023154,0.0030306511388568675,0.0002150132496468444,12049.0
2021-08-11,convective,two,0.002164326511598856,0.0030006587585202304,0.0002150262970049311,12049.0
2021-08-11,convective,persistence,0.0020692018596645866,0.0028626546746457985,,
2021-08-11,convective,damped_persistence,0.0020080544599359648,0.002690297703176952,,
2021-12-11,convective,one,0.002931756051143928,0.0031779226533308258,0.00026140912045394406,11940.0
2021-12-11,convective,two,0.002889661622505099,0.0032000072202995247,0.000260971912158807,11940.0
2021-12-11,convective,persistence,0.0031051154118729523,0.003442295495535093,,
2021-12-11,convective,damped_persistence,0.0030151866495372174,0.0032399860884746983,,
2021-12-15,wind,one,0.0077508220525103755,0.009105790075751083,0.0007388998777578458,16391.0
2021-12-15,wind,two,0.007613714444307636,0.008849964116509951,0.0007377599429062439,16391.0
2021-12-15,wind,persistence,0.008681446287720043,0.01084605649706105,,
2021-12-15,wind,damped_persistence,0.008473657123019687,0.010402361976521987,,
